arrival_delay_minutes,aircraft_type,gate_availability,ground_staff_level,weather_condition,time_of_day,turnaround_delay_risk,turnaround_delay_minutes
110,Narrowbody,Constrained,Low,Rain,Off-Peak,1,125
118,Narrowbody,Available,Low,Rain,Off-Peak,1,154
65,Narrowbody,Available,Adequate,Clear,Off-Peak,0,65
77,Narrowbody,Available,Low,Rain,Off-Peak,1,134
52,Narrowbody,Constrained,Low,Rain,Peak,1,64
103,Widebody,Available,Adequate,Clear,Off-Peak,1,158
103,Narrowbody,Constrained,Adequate,Rain,Peak,1,145
50,Narrowbody,Available,Adequate,Clear,Off-Peak,0,50
38,Widebody,Available,Adequate,Clear,Off-Peak,0,38
50,Narrowbody,Available,Low,Rain,Off-Peak,1,74
69,Narrowbody,Available,Adequate,Clear,Peak,1,85
5,Narrowbody,Constrained,Low,Clear,Off-Peak,0,5
66,Widebody,Constrained,Low,Clear,Peak,1,89
6,Widebody,Constrained,Adequate,Rain,Off-Peak,0,6
50,Narrowbody,Available,Low,Storm,Off-Peak,1,73
71,Widebody,Available,Adequate,Clear,Off-Peak,1,83
41,Narrowbody,Available,Low,Rain,Off-Peak,1,99
63,Widebody,Constrained,Adequate,Storm,Off-Peak,1,118
115,Widebody,Available,Low,Clear,Off-Peak,1,174
14,Widebody,Available,Adequate,Clear,Peak,0,14
110,Narrowbody,Available,Adequate,Rain,Off-Peak,1,141
28,Widebody,Available,Low,Rain,Peak,1,56
32,Widebody,Constrained,Adequate,Rain,Off-Peak,1,76
115,Narrowbody,Available,Adequate,Clear,Off-Peak,1,136
93,Widebody,Available,Adequate,Clear,Peak,1,107
102,Narrowbody,Available,Low,Clear,Off-Peak,1,121
26,Widebody,Available,Adequate,Clear,Off-Peak,0,26
35,Narrowbody,Available,Adequate,Clear,Peak,0,35
28,Widebody,Available,Adequate,Rain,Peak,0,28
37,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,37
56,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,97
96,Narrowbody,Available,Adequate,Clear,Peak,1,116
100,Narrowbody,Available,Adequate,Clear,Off-Peak,1,157
26,Narrowbody,Constrained,Adequate,Clear,Peak,0,26
54,Narrowbody,Available,Adequate,Clear,Off-Peak,0,54
32,Narrowbody,Available,Low,Clear,Off-Peak,0,32
67,Narrowbody,Available,Adequate,Storm,Peak,1,95
85,Narrowbody,Available,Adequate,Rain,Off-Peak,1,100
65,Widebody,Available,Adequate,Clear,Off-Peak,1,114
9,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,9
4,Widebody,Available,Low,Storm,Peak,1,57
73,Widebody,Available,Adequate,Clear,Peak,1,124
96,Narrowbody,Available,Adequate,Clear,Off-Peak,1,140
117,Narrowbody,Available,Adequate,Clear,Off-Peak,1,130
37,Widebody,Available,Adequate,Storm,Peak,1,79
12,Narrowbody,Constrained,Adequate,Clear,Peak,0,12
30,Narrowbody,Constrained,Adequate,Clear,Peak,0,30
46,Narrowbody,Available,Adequate,Storm,Off-Peak,1,98
99,Widebody,Constrained,Low,Clear,Peak,1,127
108,Narrowbody,Constrained,Adequate,Clear,Peak,1,160
87,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,108
51,Widebody,Available,Low,Rain,Off-Peak,1,71
55,Widebody,Available,Low,Clear,Off-Peak,1,70
14,Narrowbody,Available,Adequate,Storm,Peak,0,14
28,Narrowbody,Available,Low,Rain,Off-Peak,0,28
7,Widebody,Available,Low,Clear,Peak,0,7
4,Narrowbody,Available,Adequate,Storm,Peak,0,4
28,Narrowbody,Constrained,Adequate,Clear,Peak,0,28
46,Narrowbody,Constrained,Adequate,Clear,Peak,1,58
67,Widebody,Constrained,Low,Clear,Peak,1,79
75,Narrowbody,Available,Adequate,Clear,Off-Peak,1,104
44,Widebody,Available,Adequate,Clear,Peak,1,81
1,Widebody,Available,Low,Clear,Off-Peak,0,1
26,Narrowbody,Available,Adequate,Clear,Peak,0,26
94,Narrowbody,Available,Adequate,Rain,Off-Peak,1,106
114,Narrowbody,Available,Adequate,Clear,Peak,1,165
114,Narrowbody,Available,Adequate,Storm,Peak,1,147
35,Narrowbody,Constrained,Low,Clear,Peak,1,87
35,Widebody,Available,Adequate,Clear,Off-Peak,0,35
25,Narrowbody,Available,Low,Clear,Off-Peak,0,25
42,Widebody,Available,Adequate,Clear,Peak,1,71
26,Narrowbody,Available,Adequate,Clear,Off-Peak,0,26
68,Narrowbody,Available,Low,Rain,Peak,1,109
19,Narrowbody,Available,Adequate,Storm,Off-Peak,0,19
10,Narrowbody,Available,Adequate,Storm,Peak,0,10
73,Widebody,Available,Adequate,Clear,Off-Peak,1,126
103,Narrowbody,Available,Low,Rain,Peak,1,160
37,Narrowbody,Available,Adequate,Clear,Peak,0,37
5,Narrowbody,Available,Adequate,Clear,Off-Peak,0,5
71,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,102
22,Narrowbody,Available,Adequate,Rain,Off-Peak,0,22
46,Narrowbody,Available,Low,Clear,Peak,1,102
89,Widebody,Available,Adequate,Clear,Off-Peak,1,120
45,Narrowbody,Constrained,Adequate,Clear,Peak,1,82
106,Widebody,Constrained,Adequate,Rain,Off-Peak,1,136
11,Narrowbody,Available,Adequate,Clear,Off-Peak,0,11
89,Narrowbody,Available,Low,Storm,Off-Peak,1,116
12,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,12
103,Narrowbody,Available,Low,Clear,Off-Peak,1,158
61,Narrowbody,Available,Adequate,Clear,Peak,1,107
81,Narrowbody,Available,Adequate,Clear,Peak,1,111
88,Narrowbody,Constrained,Low,Clear,Off-Peak,1,111
96,Narrowbody,Constrained,Adequate,Rain,Peak,1,130
110,Narrowbody,Available,Low,Rain,Peak,1,146
103,Widebody,Available,Low,Storm,Off-Peak,1,152
59,Narrowbody,Available,Adequate,Rain,Off-Peak,0,59
42,Narrowbody,Available,Adequate,Rain,Off-Peak,0,42
75,Narrowbody,Constrained,Low,Clear,Off-Peak,1,131
107,Narrowbody,Available,Adequate,Rain,Peak,1,145
99,Narrowbody,Available,Adequate,Clear,Peak,1,155
111,Narrowbody,Available,Adequate,Clear,Off-Peak,1,150
67,Narrowbody,Available,Adequate,Clear,Off-Peak,0,67
4,Narrowbody,Available,Low,Clear,Peak,0,4
119,Narrowbody,Available,Adequate,Clear,Peak,1,166
36,Narrowbody,Available,Adequate,Storm,Peak,1,64
71,Narrowbody,Available,Adequate,Clear,Peak,1,107
105,Narrowbody,Available,Adequate,Clear,Off-Peak,1,139
112,Narrowbody,Available,Adequate,Clear,Peak,1,161
91,Widebody,Available,Low,Clear,Peak,1,138
30,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,30
8,Narrowbody,Constrained,Low,Clear,Peak,0,8
117,Narrowbody,Constrained,Low,Clear,Off-Peak,1,141
50,Widebody,Available,Adequate,Clear,Off-Peak,0,50
